epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.8015,1.96169,2.29872,1.67931,0.62558,0.61603,0.60917,0.24699,1.97088,2.71872,1.63988,0.00024,0.00024,0.00024
2,193.034,1.7408,1.61663,1.44377,0.60037,0.56416,0.6143,0.26412,2.04112,1.77756,1.63359,0.00049505,0.00049505,0.00049505
3,272.457,1.64497,1.47319,1.43674,0.68043,0.61603,0.66147,0.27202,2.00966,1.959,1.77036,0.000744952,0.000744952,0.000744952
4,352.091,1.69712,1.40511,1.48792,0.65535,0.59916,0.65949,0.2655,2.03265,2.53093,1.75027,0.000989706,0.000989706,0.000989706
5,435.504,1.74041,1.44522,1.50198,0.50891,0.4766,0.48129,0.1884,2.24685,2.5741,1.99628,0.00122931,0.00122931,0.00122931
6,516.452,1.7487,1.36072,1.5212,0.64144,0.52743,0.59336,0.23809,2.08719,2.24253,1.85589,0.00146377,0.00146377,0.00146377
7,596.774,1.7734,1.32795,1.49094,0.53884,0.56962,0.54919,0.22699,2.0724,2.10768,1.87449,0.00169308,0.00169308,0.00169308
8,673.371,1.72107,1.32127,1.46267,0.65929,0.47356,0.53389,0.19989,2.18056,2.25533,1.97205,0.0018614,0.0018614,0.0018614
9,749.955,1.80687,1.34789,1.54152,0.52901,0.54975,0.48513,0.19936,2.0889,2.28849,2.00749,0.0018416,0.0018416,0.0018416
10,826.295,1.73997,1.35932,1.5472,0.55123,0.60759,0.53034,0.18593,2.15551,2.39898,2.1225,0.0018218,0.0018218,0.0018218
11,902.789,1.6679,1.30567,1.5114,0.63352,0.60759,0.65138,0.2595,2.06372,1.91778,1.98935,0.001802,0.001802,0.001802
12,979.374,1.65402,1.24583,1.49641,0.64169,0.55919,0.62254,0.25985,2.0689,1.91471,1.88864,0.0017822,0.0017822,0.0017822
13,1054.38,1.63029,1.20713,1.41538,0.64449,0.5654,0.53927,0.21534,2.0738,1.76227,1.85345,0.0017624,0.0017624,0.0017624
14,1127.55,1.65703,1.27413,1.44762,0.63673,0.62025,0.6374,0.26377,2.06661,1.57732,1.85504,0.0017426,0.0017426,0.0017426
15,1201.06,1.57749,1.1345,1.40702,0.58611,0.59494,0.60623,0.25176,2.12166,1.91574,1.81438,0.0017228,0.0017228,0.0017228
16,1274.44,1.56305,1.12723,1.36696,0.71538,0.66815,0.71246,0.28443,2.1148,1.95028,1.85009,0.001703,0.001703,0.001703
17,1347.43,1.55449,1.10473,1.40434,0.6361,0.5654,0.62595,0.25504,2.24053,1.73795,1.98438,0.0016832,0.0016832,0.0016832
18,1420.1,1.56247,1.08375,1.41214,0.66676,0.52743,0.62458,0.26268,2.14982,1.54964,1.86709,0.0016634,0.0016634,0.0016634
19,1493.18,1.51826,1.04687,1.38011,0.76149,0.55696,0.68041,0.27269,2.12554,1.48437,1.89682,0.0016436,0.0016436,0.0016436
20,1566.37,1.5072,1.03761,1.35696,0.68395,0.54008,0.63544,0.25842,2.07072,1.57977,1.84061,0.0016238,0.0016238,0.0016238
21,1639.97,1.519,1.02873,1.32708,0.60004,0.59916,0.62355,0.24921,2.10706,1.52312,1.84541,0.001604,0.001604,0.001604
22,1712.85,1.49781,1.04112,1.32506,0.62742,0.5654,0.62211,0.26966,2.05977,1.48537,1.7371,0.0015842,0.0015842,0.0015842
23,1786.14,1.53338,1.06213,1.35965,0.68249,0.61603,0.63184,0.2631,2.13592,1.33263,1.84768,0.0015644,0.0015644,0.0015644
24,1859.07,1.55123,1.00452,1.35233,0.7076,0.62447,0.67432,0.27605,2.05143,1.32619,1.82025,0.0015446,0.0015446,0.0015446
25,1932.14,1.54128,1.01417,1.35759,0.6163,0.50211,0.54031,0.20506,2.17466,1.89283,1.86027,0.0015248,0.0015248,0.0015248
26,2005.27,1.45717,1.01481,1.30372,0.52495,0.53165,0.53275,0.18565,2.32907,1.84286,1.9771,0.001505,0.001505,0.001505
27,2078.14,1.51771,1.0157,1.34639,0.68673,0.66245,0.7171,0.28052,2.11966,1.36737,1.79983,0.0014852,0.0014852,0.0014852
28,2151.36,1.46015,0.92082,1.30949,0.75866,0.55274,0.67201,0.27136,2.14719,1.44982,1.8346,0.0014654,0.0014654,0.0014654
29,2225.54,1.46308,0.94801,1.29873,0.70486,0.52399,0.62662,0.24974,2.21655,1.64009,1.90315,0.0014456,0.0014456,0.0014456
30,2298.54,1.46169,0.97108,1.32883,0.67367,0.56118,0.63811,0.27394,2.16988,1.59529,1.85665,0.0014258,0.0014258,0.0014258
